Date,Open,High,Low,Close,Volume
02/14/2023,"91.98","92.58","91.22","91.22","567,045"
02/13/2023,"91.40","91.66","91.00","91.38","466,943"
02/10/2023,"91.64","92.22","90.90","91.12","423,724"
02/09/2023,"92.14","92.56","91.64","91.92","367,075"
02/08/2023,"91.00","91.82","90.92","91.68","538,528"
02/07/2023,"91.14","92.20","90.96","91.20","424,641"
02/06/2023,"92.70","92.74","91.54","91.80","572,927"
02/03/2023,"91.92","93.12","91.86","92.98","400,421"
02/02/2023,"92.52","93.04","91.68","92.08","587,864"
02/01/2023,"91.36","93.70","91.34","92.48","473,657"
01/31/2023,"91.64","91.68","90.88","91.54","485,676"
01/30/2023,"90.36","91.54","90.24","91.52","445,841"
